LEI	LEGAL NAME	STATE
549300VIRTE6O2776X89	BAYER HERITAGE	
549300XHF3PMRO08N352	VERITY	
549300S496IKPP8PNB83	Veritas NV	
894500N2IP0DL7VXBM14	VERITEX	
969500PBXHZCKB442N39	VERSITY	
353800RZ2O9FRCKXDB87	VERITAS Corporation	
969500TAX9PN75I49S11	VERTYCAL	
894500CQU0SMHM94ST74	Veritasveien 5	
969500JRTVDJXUSUAT46	UNILEASE	
743700WQAMVR5SK5XO38	Unce Oy	
6488AE99732MIR77ET29	Ucle	
9845007D9B456085F075	Uncedo AB	
984500B9B893797EBB85	Unless OÜ	
98450045AN5EB5FDC780	Unilei ApS	
549300F5MGXJMIQJJT30	UNILEVER KOREA CO.LTD	
549300U8E8RBG5YNMP39	DEPARTMENT OF COMMERCE	
549300FQS3UXEAID1Q88	POLISH NATIONAL CREDIT UNION	
254900YSYHBYDFRVT153	PATHWAYS FINANCIAL CREDIT UNION, INC.	
254900AKBSDWR3M9CD21	CARAIBES VILLAGE DE LA POTERIE	
549300O1SC78BDUF3J58	C/. RIBERA DEL LOIRA, 60	
969500NQQKGZPHJGIK94	CARBEN	
213800H2V3R744RSI114	CARGBEBLXXX	
8755001K3TKYUUTID143	CARISEL	
549300EQ4XIIZBFPL434	Carobek AB	
213800W7IADN9CLE7Z27	CARIBBEAN CATASTROPHE RISK INSURANCE FACILITY	
549300WRUIOQ8QKLOV91	CASIBEANS	
549300Z2IS3ZCJG3OT45	SEA COMM	
48510031AO3R1PX4XF08	SEP COMMERCE	
315700B920TRUFFMJ957	Sec-Communication, a.s.	
81560017DE0F3D6CFF17	SAE COMMUNICATION S.P.A.	
254900N47AMWLB1V0I87	Seam Communications, Inc.	
5299001HX8ZN8Y8QIT49	SBA Communications Corporation	
2138002WGUS2LK1DZT32	SPA COMMON	
254900XS6ZEOAD9Q6N72	We Florida Financial	
213800Z72DVCM6LT1422	MERIDIAN TRUST	
9845007F72YE96836938	Meridian Trust, SC.	
213800BUAC8AMFHPYB49	MERIDIAN TRUST COMPANY LIMITED	
5493007KYI3BO5LTXF79	Meridian Trust Federal Credit Union	
549300F3ST5XCZ81MG48	us_ca/200823110128	
549300DETDTLWSG25F25	us_de/6808525	
5493008MTS3OGGMHGK69	US74967X1037	
967600YOLJKGE7PQ6W47	U3C	
894500949BU17XHOXH81	UCH	
549300WKOE38PNUSOD49	RADIFI	
7437007CROAKRBBAKQ98	Radiris Oy	
636700NBERBUUQ8US076	Radixion AB	
724500Q9WSGGVAU8H993	Rasifi B.V.	
9845000FA68CKB88DF34	Radikių	
549300X2FDOMMNX4Z285	Redifin B.V.	
549300EN60P8ZX3QQJ82	Radioio, Inc.	
8156006939D4F3E97486	REDIFIN S.R.L.	
815600BBBAEDCF398377	RADICI ENZO SRL	
8156008C2D78CED53F49	RADICIFIL S.P.A.	
9845006F8MAG05691616	NORTHLAND REALTY	
549300DSPT6YGS1ZLR56	LOKAHI	
967600OB2YXK376D1A31	Lokafin	
969500EQZAN3YDQXB795	LOKALIS	
969500ZF7EAFK6IOC658	LOKARIE	
5299000XK27SS5XE9I40	LOKACI Fonds	
74370098TEFTSDBISH54	Lokaritie 12 A 2	
984500F46C41F41E5B40	LOKALISE, INC.	
984500C9C3A654CA4403	LOKAHDANWALA RD, VEERA OFF FOUR BUNGALOWS	
54930040I855W2FI0Y80	APL	
875500IIHAAA5KDGJV45	Albert van Dyckstraat 29	
969500NCOJUHD9DZ0L29	ALLISON	
969500T7DAZC82MGV548	A LASTRUGUE	
969500NCER3QX5HCIN96	A2L AUDIT	
549300RWXIW3CFTANH88	SOOPER CU DBA CLIMB CU	
549300HPGDH83870HF40	FORT BRAGG	
549300B5OVQB22CX1W49	Fort Bragg Investors	
213800ETCASSC1G9AC40	INNOVATIVE VECTOR CONTROL CONSORTIUM	
6994009GFMAQIFDIFH25	INUVA	
25490073AZQS9G7PUF86	Idovad	
254900GAZEKIA1VRXT16	Imnova	
984500EBBDD1Z5AD8822	IMOVAC	
875500RJZF8PR0POZM59	IMOVAN	
875500HFPWRRPJCT4148	INLOVA	
9695007TJON4PHQRUE79	INOMAC	
549300A8TEVE8WYT0T29	ABILENE TEACHERS	
969500KXFLOZBURH1C21	ALIAN	
969500O8KUZPRHFM6T86	ALIEN	
969500FI8EUYN55W8374	ALINA	
6994000376JHXKY7O408	ALINE	
969500CT7779PT98L446	ALIGOD	
21380071E9CF34KZ7F88	ALINAR	
9695005B4AQY92C11557	ALINCO	
2549008CBS11KBKU4Z95	Wasatch Peaks Federal Credit Union	
549300ZUF2EI6H23YK94	BEEHIVE	
984500A368F3B9BR8B40	BEEHIVE ALCOVEB	
2549005PZJ3MH03UBW16	Beehive Cottage	
98450067EOBB7C15DZ63	BEEHIVE ALCOVEB LLP	
2549008E7H81RYCV6Q55	BEEHIVE SPONSOR LLC	
984500C7BD0B0E5C8705	BEEHIVE ADVANCE DMCC	
9845008A89675D51QA58	BEEHIVE ADVISORY LTD	
254900EF3R44CL3OJ839	Beehive Homes of Springboro	
724500C6N6Y7XPETIQ21	Hogelandsingel 63	
984500A85UK0E48BDA49	HOPELAND AS	
54930078UBRJU583SU77	Homelund 43	
7245006988H86D4HV179	Hogelandsingel 1	
9845005E4ADQ5061B182	Hogelandseweg 77 A	
724500JZG0O2LSG3FL82	Hogelandsingel 19	
969500N9TY8G8IVJXX78	EMBL'M	
98450044K8DBDD02CA45	Emblemsesteenweg(Kessel) 48	
254900KWRSEY3ZGA2G37	Emblem c/0 Arne Osberg	
254900T8FMFP47UDJW88	EMILEM AS	
549300PL0D98QFDWIH72	Embema ApS	
2549002FYSDD97QQ3T77	Emblem FII	
969500UJROV4614RL652	EMBLEMATIK	
529900FOJ94Z958M1S68	Emblem Corp.	
549300XA6P3X1GTJEY80	SECURITYPLUS	
391200FIXNYE8DN5Y632	Ebersdorf 201	
984500152EC8A6924F29	Eberschwang 80	
391200EAMJ9PJF8S5W40	Eberschwang 98	
549300XMFRSH4KYAO758	DIVERSIFIED MEMBERS	
743700FVIU3ADT8L8V11	Saariontie 455	
743700DFQJJUVHOCOZ95	Sarion Oy	
969500KKVLFM7T5KOO74	SOLARION 10	
969500M6W7VS50L71A46	SOLARION 11	
969500KVAL549KW5JO23	SOLARION 12	
969500MPOD68JM991I19	SOLARION 13	
969500FL3DPGNH6ZLC03	SOLARION 14	
96950001RDG5CT4TLG86	SOLARION 17	
984500HFF9C61DF7E942	SCARIONI SRL	
54930019RBT2SM6CQS78	Starion Bank	
984500978EH6Q9F15367	FAIRMINT INC	
254900ZLPBVDF06Z4W98	FAIRMONT SHIPPING AGENCIES LIMITED	
3912002233PTHL6P5B05	Fairmont GmbH	
529900GHAKG13FBPF671	FairConto Zrt.	
6488D5H5A49O8U2N3N74	Fairmount Fortune One Commercial Complex, Sanathnagar	
549300THBFHMP4WJ0323	I.L.W.U.	
724500S3805YKLPC7643	Carillonhof 9	
9598005SJ8LDY7YJCN19	CABRILLA 23 A	
549300EZU849WR6XJK04	Carillon, LLC	
549300K4JPQKOLLS4V60	CARILLON S.A.	
8156004A21AEACCEE533	CARILLO MARTINO	
815600FCCEB0462FB239	CABRELLON FLAVIO	
8156001FBEEE7EFAF268	CABRELLON S.R.L.	
254900VHIIFL1JER8089	Carillon (Sakura) L.P.	
213800U9A4QMOXXVVU17	FIRLANDS FARM	
213800BRN13ZELIR8T23	FORELANDS INVESTMENTS LIMITED	
549300PMSIE5MKT6G766	Firelands Regional Medical Center	
254900H683YTE9MLK216	FIRELANDS WIND INTERMEDIATE HOLDCO 1, LLC	
894500B60FUS00JVCJ81	CAILLOUX SUR FONTAINES	
9695009ZS5QAKQRMIN91	CHALLENGE DEMENAGEMENTS	
96950079NXPVNM26L713	CHALLENGER - 1	
98450040E5B6CD69C657	SIMPLICITY	
9695009TVIDWMVPM1W60	SIMPLICITI	
54930072C7UPTAX5IO45	Simplicit AB	
549300PYXS434UD3YU44	Simplicity AB	
549300AUEBTG83R9YA71	Simplicity Kina	
549300XH0PCDFDBRRJ26	SIMPLICITY ASIEN	
549300VH7GD7UDUQ8H24	Simplicity Palma	
969500IFBG2DMIYO5259	SIMPLICITI INVEST	
549300USZUEZGBMCKA48	SIMPLICITY AFRICA	
9695004MNB5SLCHW0O25	PEAK	
969500XKJ2FEHM1IBP47	PAKEA	
3912005G3LK8JZ7LS922	PEAKK	
699400VIZ1SYS34L2Y33	PESKE	
699400GBGM4Q46FY2W33	PAKERA	
984500E2FCE8E8F06C53	Pakeshof 1	
5299001GFM60I6FVBF54	PEATED	
549300EQNXKNZK421465	PEACE G.K.	
984500C103B44754EE67	PEAK 42	
9695003TEHIKZEKSGL86	PEAK PM	
9695008XYW6XDRP1V276	OTELO	
8945006Q18C3QCPAIC62	OLERON	
7437001QI1I57OBFF737	Ote Oy	
6994002HTPFJCPSVZU38	Operoso	
254900YNHXSRNQR30V79	Osteroyvegen 2235	
549300ABHFY5HY2P3871	COASTLIFE	
549300XIS1CNFUXUAU81	Coastline Corporate Services, Inc.	
529900OK7RLSGR7XH161	COASTLINE FARMS SL	
5299000JMD82AF55TF86	COASTLINE SPF S.A.	
335800P4O4Z2B5BEKS79	COASTLINE FISHERIES	
549300L1X7DDDF5P8357	COASTLINE FUND, L.P.	
529900HBV6W6NMX6AD34	Coastline Capital GmbH	
549300LP6DHEDJP1K884	Coastline International	
2549003GTJP95KOWX592	Coastline Apartments LLC	
549300MAIHYOT48UVH49	CAROLINAS TELCO	
5493007G2SOD8W9RK547	FIRST NEW YORK	
MKNT5PYD90ESOVFV6523	First New York Securities L.L.C.	
L3SY9D4RJMJFBSBYVP64	FIRST NEW YORK SECURITIES (LONDON) LIMITED	
549300BUIG4G67S5O712	WESTERLY COMMUNITY	
549300U3NIUGN9OO4407	CUMBERLAND COUNTY	
54930047YAX7UHRKN043	NIZARI PROGRESSIVE FCU	
98450062C847FDDA7405	WINSOUTH	
549300194LW0QMECAH75	BATON ROUGE TELCO	
969500VR2MZPHIZXBE44	SIMAB	
72450025LLCE1DX7Z440	Smaragd 65	
969500K9ZPYHQF76FR88	SCMA	
969500GKAYHLWUKXYZ43	SDMA	
984500CF7R445EBA6F32	WCUBE	
969500WG157ZKI8S8506	WJCUBE	
254900ZT60EY5UEEGO93	WMC Ltd	
5493002EYVAPBKFULH68	WMC FANS	
875500CKK3076CY54Y43	W Cube KG	
984500DF1460364B5350	WMCM GmbH	
969500KL71R97QFTQE82	WMC GESTION	
959800YC5UVUTRE9QR47	WACUMBA S.L.	
9845003S100381C76832	Wecubex GmbH	
549300U2B1ZNGX3H8U54	TEXAS TECH	
8156006C19268158B510	TEMAS TECHNOLOGIES S.R.L.	
549300SPM8LGJKCQO195	Texas Tech University System	
549300LR0FDQRH6YJA93	Texas Teachers of Tomorrow, LLC	
2549000Z6BCKI2H14P18	TERAS TECHNOLOGY AND PRODUCTS DMCC	
549300E3QJQLKVB40W93	PUBLIC SERVICE EMPLOYEES CREDIT UNION	
5493004IJ6TI14QN3B67	PUBLIC SERVICE #3 CU	
6URPHM2EAWGJ2C6ISB97	PUBLIC SERVICE COMPANY OF INDIANA INC	
2138004FBJB26Y41X756	PUBLIC SERVICES CENTRE	
254900MCB5QTUWUWQ396	Public Service Credit Union	
5493001UT8F2JLYRDO46	Public Service Pensions Board	
6354005HAPW2HJAURL80	Public Service Friendly Society	
549300CLUFFHHRUIM778	Public Service Pension Plan Fund	
254900SI36BLITJATS92	Public Service Agency	
5299007QKXCYHQA97I80	82562756	
894500DRXOT3ENU8HE17	829997907	
969500U5Y72H6GRTZQ22	800220451	
9695008LRD059QD54R15	801905530	
549300Q7F3CVJMPK6G23	802005-1218	
969500EIKBM0PPU20031	802521211	
969500CJMDAL3GN1R989	802543322	
969500CE34ZWOG0BYD91	803053677	
549300DQ137S1HEMVL85	DEXSTA	
894500ZGL5YHRYE9H013	Desta	
984500DLDD9F9052C998	De STAERCKE & Associés Finance	
9695005Y6JBM8YRJPL67	DESTACAMP	
9845007B963H75A38F64	de Stassartstraat 29	
3912001QHCUDQAHYVG68	dexta GmbH	
724500OYZFX6O6PLKS44	De Stadt 6	
724500AI47MV4A7J8093	De Stappert 1	
549300TCR1BZRVOO2A49	CENTRIC	
5493007ZKB02B79HET13	Centrica	
549300ES5O8O85G9ZE07	Centic Consulting AB	
549300DOHHJ6KA2J2U95	CENTIC A/S	
636700DW2JY5L3LYO040	Centica AB	
969500V0XE9U2Q306070	CENTRACHAT	
506700I4OF9A168UV563	Centrim SA	
8945007S2CYQER7H4M75	Centris AG	
549300HNQDVXN8569N58	CPORT	
967600D73LMTXKOEX322	CORTIL-WODON	
969500W8ETVMWSEOWP70	CORTEC	
9695007WG5HEELI3AL48	CORTEN	
969500BZX5AC3WX5WQ57	CORTEX	
967600VHUVT7HW5YBW86	Cortex	
959800UKFNEKJ5P0NV36	C/ ORTEGA Y GASSET 34 3º B	
98450055HPB3903I6C25	Coortus	
549300HWQV4ZV6WMCK88	AMERICAN SOUTHWEST	
254900BS53YD5E9OCS65	Highpoint Sales And Marketing	
549300LOHOI32OLNG750	HighPoint AB	
743700HV7LRDEBZPV946	High Point Oy	
254900DYD0OAPDAF9U46	HIGH POINTE LP	
549300T24YQC60LVKP75	Highpoint Church	
549300ZV4GIO5GTENV26	HIGHPOINT REAL ESTATE	
54930086007WWN2X2963	Highpoint, Ltd.	
549300N6Q6IC190UPB76	DENVER COMMUNITY CU D.B.A. ZING CU	
549300ANTUZH5AQQXR02	ST. CLOUD FINANCIAL	
549300N53R53ZHSNZ234	WHITE SANDS	
6488P844AGQW553R3T60	White Sands OU	
724500RZH6XP5PBUJ376	White Sands B.V.	
7437006USY63A8X48T23	White Sand Boats Oy	
743700FN7A7E72SQ3K88	White Sands Mgmt Oy	
959800FS5PWMWFVUT655	WHITE SAND REALTY SL	
213800ROUVVKYAECY705	WHITESANDS GROUP LTD.	
984500R792E599F42B80	WhiteSands Global GmbH	
254900NFTQPBJKL3N346	WHITESANDS ASSETS LIMITED	
5493004JDNBZNOT8PR69	WYHY	
984500BQS786081DC852	WHY AS	
9695009WA9G5C49GSJ51	WHYLOT	
894500HXRKLNAOEMQ535	WHYNUT	
894500B2MP3FVW8BYJ17	WHY SRL	
549300Q6MDHSPO87P047	Why T AB	
894500L18Q5HH7B8GA89	Why2What	
6367006VNQ696O7KXE15	Whyso AB	
549300DJT1WS6SELJS28	INDUSTRIAL CU OF WHATCOM COUNTY	
213800C9INHNGFGOYL22	TEN	
875500OU78OVK99JNY87	Ter Rivierenlaan 103	
967600T4VJ5VTM9OIB20	Tandartsenkabinet Meyers	
969500NWQGE1JPHCQJ06	TEB	
9695000TO1YLWH320U96	TECHNOPOLE TEMIS LE TRIGONE	
549300SOF7S6E4VRT651	SAN ANTONIO CITIZENS	
549300ODE6V13YFWTW21	HOUSTON TEXAS FIRE FIGHTERS	
549300N1LBROQFJ7YJ64	FORT SILL	
549300EOQJF1LM3PZ641	Fort William First Nation	
254900FIS4VYEMW1WE86	Fort Mill MC, LLC	
549300BXRQ03JJPZXY67	Fort Mills	
549300XJCG9CFG4I2481	Navigatörgatan 10	
969500T3JA0DQLX6DZ79	NAVIGATORIA	
549300GNXYS0C0JTN380	Navigator AB	
5493006OZEG7DK77IP05	NAVIGATOR CU	
8156005A940C22EB1989	NAVIGATOR SRL	
9845007A65O0C8C83982	NAVIGATÖRERNA	
254900FB7VPVJB1PKQ18	Navigator Fund	
213800K7QVZR47T46272	NAVIGATOR MSL MILL ROAD	
875500KMP8IU3NJ8FN68	Navigatoren e.V.	
984500DE6B6YB8A5H465	PACIFIC CREST	
254900LZKUIRKWPKJC95	Pacific Crest Partners Limited	
549300F0UOE1LUACDY02	Pacific Crest Bank	
549300L4K16WJ06FOO65	PACIFIC CREST LIMITED	
549300TRXBKMYMZA2T10	PACIFIC CREST AIR, LLC	
549300QM0J5RF3X0ZV91	PACIFIC RESTAURANT SUPPLY, INC.	
U4DCDGMWXIVQULNB6F11	Pacific Crestline Enterprises, LP	
254900IN4KHMQU46NS66	Pacific Crest Partners Essence Master Fund	
549300QFE7UAEZ8Q4U55	PARK SIDE FINANCIAL	
549300CZWTDEJEIZPF15	PARKSIDE FINANCIAL, INC.	
549300I8ZHP6YHTW4843	Parkside Financial Bank & Trust	
9845007F471CB03B1193	Ignite	
969500H4PSCUH3HFNZ57	INGITEK	
335800WJBSKQCNI2RU80	IGNITE 7	
335800Z61NC12USROU64	IGNITE 8	
335800URIMP36GA62M09	IGNITE 9	
335800R79C5SW4PRVA24	IGNITE 10	
33580092SBAQHJ21KM93	IGNITE 11	
335800EGH489AKNNQ775	IGNITE 12	
335800H43PWQTGVRNH39	IGNITE 13	
222100GGYXZWDS7DB411	TIARÉ - L	
22210050HO1XCNHKZO42	Tiaré - P	
969500QI48ZA8C923N06	TABOBINE	
969500RNM79KE4F5TE17	TAC	
9695005E8TTDI9I1Z093	SIGNE VIGNERONS, LOUIS TETE, JEAN-CHARLES PIVOT, CAVE DES COTEAUX DU LYONNAIS, LES VIGNERONS FOREZIE	
636700PYZO94SMQ8SK17	Signe Tillischgatan 16	
9845006C410C94EG9C59	SIGNTEK	
98450038E80U83B7D938	Signe Fabers Vej 1	
959800XUJGLS2EYTND38	SIGNE SA	
549300ZSR9Y76K925M55	Signes vei 5A	
894500NOP3EHG0CCJU19	SIGNTECH	
969500PUEJXBYIPJ7660	SIGNATURE	
984500A6D447DAC09443	Signe Tillischgatan 12	
254900U73LH68Q5NY562	Matadors Community Credit Union	
894500WM71SY9BYJCL25	TRUESTAR	
8156003436834A916E92	TRUST RF	
959800LWMC03LFR3ML34	TRUSAR SL	
8156001FC70F2931A906	TRUST RIA	
2138005KJ57KXAQ2MO86	TRUST RM3	
81560014C62F06B10854	TRUST REDI	
81560033FB42884E3039	TRUST REGI	
815600EE684FA5243C47	TRUST REMI	
8156003D7D8F80599F84	TRUST RITA	
5493006MRGHEPWMR2015	HERITAGE SOUTH COMMUNITY CU	
549300Y4GAAGXS20SL80	MISSOURI ELECTRIC COOPERATIVES EMPL	
549300T7RPUYDIE5FH39	MUTUAL SECURITY	
635400GBPN5HTTIVVH83	Mutual Securitisation PLC	
254900UQFSLK9OUNAC76	Mutual Securities, Inc., of California	
213800L413YWL2E7T467	OXFORD BUSINESS PARK, SOUTH	
984500ZDFC4IEFDC1548	Oxford Place	
5493000VWAG47L29O356	Oxford Bank	
549300KGMQV70HA5Y715	OXFORD CATALYSTS GROUP PLC	
894500W5907I7Q3RSI75	Oxford Have 15	
789000Z6SQGBZXW6JB83	OUR	
699400EEV1WNKULGI681	Oude Vesten 41 bus 53	
969500AYOPUWI5SUZ205	OPRTNL	
549300K5FTE53M5QEC87	Oranje-Nassau Developpement S.C.A., FIAR - Comp. IHS	
969500VSF9793LMW4E63	PLATINUM	
254900HX5SHC1K9UZ674	PLATINUM BROKING COMPANY LIMITED	
6488734GDO45YL50VO41	PLATINUM PETRO PARK	
743700NLJFBK0GCA8E68	PLATIUM OY	
549300JH4Z1C5K69NY71	PLATINUM AS	
549300T2XKFF76YU2S20	Platonum AB	
969500HR6PEZNUA0KK14	PLATINIUM II	
549300C8H40CULNIS102	Platinum ehf	
4469000001BXGL5JCD20	PENINSULA	
222100ORJH72UKU2JE68	PENINSULA INVESTMENTS III SCS	
969500JLQBAY7ZEOVM97	PENINSULE	
254900XGGDLPRQ575M38	Peninsula PLaza,#03-50	
549300988TNLQ6YUZP27	SAG-AFTRA FCU	
MTIHOR5S7P64873VW472	SAG-AFTRA Health Plan	
54930072H82Z2RZW3210	AERO	
96950069V1O51QMMHM71	AEROPORT D AVIGNON	
984500A9E008810AC532	AGROBOCI Ltd.	
969500CEMX10BZ7X3I03	AERA	
969500UD6QHMBSX3Q186	AERODROME BORDEAUX SAUCATS	
969500773F9E783X2Z74	AERODROME DE VILLEFRANCHE TARARE	
9695001NKWZ7UOXX4O53	AEROPORT D'	
549300KUBRH1GICTLI84	NEW HAMPSHIRE	
549300I1MYIQ9SGFA889	New Hampshire	
549300CYNX3OO6E21Y84	New Hampshire Conference Seminary And Female College	
2549004UH4QL7APSYA36	New Hampshire Ave, LLC	
549300U7EWEXRVDFV831	NEW HAMPSHIRE SNF 1 LLC	
549300W7HIXX90GRGX27	New Hampshire South, LLC	
724500BQWO4DKGCMCK90	New Hampshire Holding B.V.	
254900P63PYX6LWLGY57	New Hampshire Mutual Bancorp	
549300GH6UYWZMY8I554	New Hampshire Apartment, Inc.	
254900VYWY829DG3Z473	Members Plus Credit Union	
699400JHNG12Q75RBV48	C@PLAN	
254900U7DE1NSJ7U7T45	C - PLAN	
959800KEUNXQYT5SV134	C/PLATA 8 NAVE	
959800CDULP1BZS96G22	C/PLATERIAS 1 1º A	
959800PR81AW75ZAEF87	C/ PLATINO S/N - POL IND	
959800KBLMF3XUZ0PZ14	C/ PLATO 6 4º 5ª	
9598002YTBT52GTBSY26	C/ PANTICOSA 7	
959800FD3TNF96MY2962	C/PLATA 30 2ª PLANTA	
9845008DF3F7EE855D82	C/ PLATA 4	
959800T4UQEXHNT4WX22	COPLANTAX, SL	
549300Z1CDO1XR2ZMQ19	HUDSON RIVER COMMUNITY	
549300P1ORVTMT2T7756	LIBRARY OF CONGRESS	
549300X91O5FQA359330	Library of Congress - FP	
549300RRZ45SXL8JT804	TUCOEMAS	
969500K8WAV3QSPTSW60	GUADALUCE	
549300N2HSJK26FJIV97	Guadalupe Bank	
254900D12PCI929AMF98	Guadalupe Trust	
9598006GU5D6J43FZR33	GUADALUPE PYQ SL	
95980061VWR0798X8781	GUADALUPE 2000 SL	
549300O27D5LR4G4HZ07	GUADALUPE LIMITED	
549300ZXKLRPB8D2XB72	Guadalupe Limited	
254900KOP6JY8A0DIV80	Cloverbelt Credit Union	
5493000P7Y1X8P8LNY87	ELTRA	
969500RMSSH58QJFKI71	EXTIA	
2549006AC9Y4MDVXIL37	Extra	
969500QV9SW0SY2LAA79	ENTRAINEMENT	
2549004Z115M95PZY871	Entrance A, Floor 6, Apt.22	
54930053ILNZZYQIGE35	ENTRANCE B	
529900O5QGZN6820C908	Ertrag	
549300CYXW7LD00YCQ70	PINAL COUNTY	
254900CORCK9CDK8GZ80	FreeStar Financial	
549300LI5KT42YX5L588	FIRST NORTHERN	
5493005LNO5N4F760786	First Northern Bank of Dixon	
2549000R7VWCN47XEP36	FIRST NORTHERN COMMUNITY BANCORP	
549300E5GFWPFRJR4I76	First Northern Bank and Trust Company	
549300FV32ULL0DL8X39	NET	
9695006LJZDNLEIXPR37	NATIXIS ASSURANCES	
335800GVP6J2F2UPMN37	NUTAN NAGAR, HAZARIBAG,	
875500T7S7KGEQSS2L41	Nederhasselt	
254900P153BHST40XV93	Nederwijk-Oost 300	
9845009CC78B5AA7AC69	Neerwielkestraat 7	
549300T0MIVF0XGLQC75	NEF	
969500ZEGX5HOQ3EPR41	EVOLEN	
96950030410P5SVHFS10	EVOLEO	
969500RU3FYVVLKO7A24	EVOLUE	
54930020NKD4V7LL4W50	Evolve Federal Credit Union	
9695005KPIIQSEFEJ042	EWOLVE	
969500NL5ANUOH3CZA17	EVOLVIO	
724500Y2OWAAF589M066	EvolvIP	
969500DHPQ1KC5YGRC47	EVOLENE 1	
724500F3SVH2F2AJLN62	PaHo Holding B.V.	
549300PV00ZRSNV8US68	ELCO	
984500750442D07CAB09	ELKA	
894500JYFOGGOF7UK152	ELKE JANSSENS	
5493006R3KP9HJOA7613	PRINCE GEORGE'S COMMUNITY	
984500077BCD8E607774	INTREPIDA LTD	
213800NDCUHZ9Y659R39	INTREPID GEM SRL	
743700OBAVA7X5B3R564	Intrepid lead Oy	
9845000EJ01XPD0VF569	INTREPID OWLS LTD	
391200X2DS2WR4XMG015	intrepid ibex GmbH	
549300R6K0YJJYEMZZ65	Intrepid Capital Management Funds Trust - Intrepid Income Fund	
549300J5B8EF0ARZZ379	Intrepid Mining, LLC	
21380033UBNUEDVPKX93	INTREPID PNT SSAS #1	
254900U8YS5PBD7KFQ43	Intrepid Topco, Inc.	
894500EOVWBE0OGEIB55	Dannemoragatan 14	
254900YG2VT7AWTY9S28	Dannemoragatan 18	
254900XIGAR8HM0KJZ26	FALL RIVER MUNICIPAL CREDIT UNION	
743700QA9Q7LUASDF480	Ola Westmanin puistotie 5 C	
25490061AKDU5XIA0578	OLD WEST, LLC	
549300E4GMJ0TG4NRD11	OLP West Hartford LLC	
549300YMRMTWRGXX0W63	OLD WESTBURY FUNDS, INC.	
549300BJ8SAGJG8R8E82	OLD WEST INCOME FUND, L.P.	
335800DZ81AQQOBYMS14	AL TRUST	
KD833U13JEIGETBW2749	Alltrista Corporation	
529900T5N1LNKT36K117	Alltrust 50	
300300EW2JZRJDQUUG12	ALLTRUST INSURANCE ASSET MANAGEMENT Co.,LTD.	
213800ICWIA8VLVNX262	ALLTRUST SIPP	
5299004C2FT1Z40X1I52	AL Trust Chance	
529900RG9JYHMSJEY364	AL Trust Wachstum	
5299001N33QS8QVZKS35	AL Trust Stabilität	
529900L4PP9JX809OA14	AL Trust €uro Relax	
549300TEBV514KLDE180	PENINSULA COMMUNITY	
9695002ZF1TAEQPS4F41	VAUROISY	
98450085ABB5B5D21B37	Vaartdijkstraat 20	
2138002KQGGBZGM7XF96	HOMEBASE LIMITED	
213800RWZVZ4EKGTMO56	HOMEBASED CARE LTD	
254900AI92AASA8QF693	Homebase	
549300BJV0Q10O7TR466	HOMEBASE ABROAD, LTD.	
724500X6KAUL8B6WJN47	Homebase Investments B.V.	
549300SPXUN73TU6VX83	Onís	
969500686B5C8MI0R290	ONIS LINE BLIND	
9845005E1E6B77CF9C95	ORIS	
9695008B2MD8UUTRP188	OSIS	
213800ZJM9TTVYHLDQ32	OTAS	
5493004WP2GBTB3YAY10	HOMETOWN ENERGY	
54930053J4E9GVLMRX44	HOMETOWN OIL, LLC	
549300K1KNORWZF65M71	Hometown Waste, LLC	
549300VBSBMS0IVM1P19	HOMETOWN TRUST, INC.	
549300SI84V60XS2R422	HOMETOWN Credit Union	
549300CRSXZPUBO6JA05	HOMETOWN FOOD COMPANY	
549300R17PVHHJ0TBF28	HOMETOWN BANCORP, INC.	
549300KONRS9UO48JT89	HOMETOWN BANCORP, LTD.	
984500MBNC5WEBAD9053	ALIV	
549300NBFLVGQOGSJ402	Alive Credit Union	
875500VNRFU0X62BJ010	ALIZÉ	
213800XG4I4A8RIO4L85	ALVEA	
984500DD1B8BE1A09B75	Alverdries 10	
549300E2QBYW1NW41140	MAINE FAMILY	
549300P7QM2ETZZY0323	HERITAGE COMMUNITY	
894500QC0C65HO7V5I65	HERITAGE COMMUNITY BANK	
5493004Z2SGQGCU5RB44	Heritage Community Bank	
54930028Y8IGAL0G2R89	HERITAGE COMMUNITIES LLC	
5493003ZQXBSRU5RO172	Greater Community Bank	
254900JBYKJHROE4PK88	NORSTAT AS	
549300HJKT0VPK6JRL39	Norstates Bank	
549300ZVL1X47RO6DX47	NORTATEM SQUARED LTD.	
549300UCDQZC01NTHS65	COTTONWOOD COMMUNITIES GP SUBSIDIARY, LLC	
549300DDCDU0HZO2LS34	Cottonwood Communities GP Subsidiary, LLC	
549300NCGFFMZH59IJ19	Lewis & Clark Bank	
TOQNOK90XO1K1M51UN70	LEWIS & CLARK COLLEGE	
54930002OGTWTDX5VO50	LEWIS CLARK RECYCLING AND DISPOSAL, LLC	
549300ZYYW7GU9YSM585	Edward	
967600NC872EFE9JIH84	Edward Keurvelsstraat 24	
549300NECYU1890VD611	Edvards Vei 10	
9845003D55B4SB966619	Edward de Jansstraat 3	
5493000LL0J5LHXDNN30	Eduardstr 3	
549300SENIFFLVGUHE44	FIRST FLIGHT	
969500SWDGC8DAOU3440	FIRST LIGHT IMAGING	
